Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

D16        SOT23                95.975mm       30.75mm          96mm       30.75mm       97.05mm       29.75mm  T        180.00 AZ23C15        
D17        SOD323               104.25mm          27mm      104.25mm          27mm      104.25mm       28.11mm  T        180.00 1N4148         
D18        SOD323               100.75mm          27mm      100.75mm          27mm      100.75mm       25.89mm  T        360.00 1N4148         
D19        0603_Pol               27.5mm       28.25mm        27.5mm       28.25mm        27.5mm        27.4mm  T          0.00 CDSU4148       
D20        0603_Pol               36.5mm       28.25mm        36.5mm       28.25mm        36.5mm        27.4mm  T          0.00 CDSU4148       
D21        DO-214AC              43.75mm        14.5mm       43.75mm        14.5mm       41.65mm        14.5mm  T        180.00 SMAJxxCA       
D22        DO-214AC                 55mm        14.5mm          55mm        14.5mm        52.9mm        14.5mm  T        180.00 SMAJxxCA       
F1         FUSE_UMT250            15.5mm        6.25mm        15.5mm        6.25mm       20.25mm        6.25mm  T        180.00 Fuse_UMT250    
L1         WURTH_7447709220       14.75mm       17.75mm       14.75mm       17.75mm       14.75mm       12.75mm  T         90.00 Inductor       
R1         0805_                  28.5mm        34.5mm        28.5mm        34.5mm       29.55mm        34.5mm  T         90.00 2k2            
R2         0805_                    36mm        34.5mm          36mm        34.5mm       37.05mm        34.5mm  T         90.00 2k2            
R3         0805_                  43.5mm        34.5mm        43.5mm        34.5mm       44.55mm        34.5mm  T         90.00 2k2            
R4         0805_                    51mm        34.5mm          51mm        34.5mm       52.05mm        34.5mm  T         90.00 2k2            
R5         0402_                  51.5mm          33mm        51.5mm          33mm          51mm          33mm  T        270.00 10k            
R6         0402_                 48.75mm       30.25mm       48.75mm       30.25mm       48.75mm       30.75mm  T        180.00 10k            
R7         0402_                 41.25mm       32.25mm       41.25mm       32.25mm       41.25mm       31.75mm  T          0.00 10k            
R8         0402_                 41.25mm       30.25mm       41.25mm       30.25mm       41.25mm       30.75mm  T        180.00 10k            
R9         0805_                  58.5mm        34.5mm        58.5mm        34.5mm       59.55mm        34.5mm  T         90.00 2k2            
R10        0805_                    66mm        34.5mm          66mm        34.5mm       67.05mm        34.5mm  T         90.00 2k2            
R11        0805_                  73.5mm        34.5mm        73.5mm        34.5mm       74.55mm        34.5mm  T         90.00 2k2            
R12        0805_                    81mm        34.5mm          81mm        34.5mm       82.05mm        34.5mm  T         90.00 2k2            
R13        0402_                  81.5mm          33mm        81.5mm          33mm          81mm          33mm  T        270.00 10k            
R14        0402_                 78.75mm       30.25mm       78.75mm       30.25mm       78.75mm       30.75mm  T        180.00 10k            
R15        0402_                  66.5mm          33mm        66.5mm          33mm          66mm          33mm  T        270.00 10k            
R16        0402_                 63.75mm       30.25mm       63.75mm       30.25mm       63.75mm       30.75mm  T        180.00 10k            
R17        0805_                  88.5mm        34.5mm        88.5mm        34.5mm       89.55mm        34.5mm  T         90.00 2k2            
R18        0805_                    96mm        34.5mm          96mm        34.5mm       97.05mm        34.5mm  T         90.00 2k2            
R19        0402_                  96.5mm          33mm        96.5mm          33mm          96mm          33mm  T        270.00 10k            
R20        0402_                 93.75mm       30.25mm       93.75mm       30.25mm       93.75mm       30.75mm  T        180.00 10k            
R21        0805_                   106mm          27mm         106mm          27mm         106mm       28.05mm  T        180.00 500R           
R22        0805_                 102.5mm          27mm       102.5mm          27mm       102.5mm       25.95mm  T        360.00 500R           
R23        0805_                    25mm          27mm          25mm          27mm       26.05mm          27mm  T         90.00 22R            
R24        0805_                  21.5mm          27mm        21.5mm          27mm       22.55mm          27mm  T         90.00 22R            
R25        0402_                  21.5mm       32.75mm        21.5mm       32.75mm          21mm       32.75mm  T        270.00 100k           
R26        0805_                    34mm          27mm          34mm          27mm       35.05mm          27mm  T         90.00 22R            
R27        0805_                  30.5mm          27mm        30.5mm          27mm       29.45mm          27mm  T        270.00 22R            
R28        0402_                  30.5mm       32.75mm        30.5mm       32.75mm          30mm       32.75mm  T        270.00 100k           
R29        0402_                  47.5mm       24.75mm        47.5mm       24.75mm        47.5mm       25.25mm  T        180.00 680R           
R30        MF72-010D5           49.175mm       16.75mm          50mm       19.25mm          50mm       19.25mm  T        270.00 MF72-060D5     
R31        0402_                  46.5mm       24.75mm        46.5mm       24.75mm        46.5mm       24.25mm  T        360.00 10k            
R32        0805_                 43.75mm       17.25mm       43.75mm       17.25mm        42.7mm       17.25mm  T        270.00 22k            
R33        0402_                 12.75mm       36.75mm       12.75mm       36.75mm       13.25mm       36.75mm  T         90.00 10k            
R34        0402_                 14.75mm       36.75mm       14.75mm       36.75mm       14.25mm       36.75mm  T        270.00 1k             
R35        0402_                 58.75mm       24.75mm       58.75mm       24.75mm       58.75mm       25.25mm  T        180.00 680R           
R36        MF72-010D5           60.425mm       16.75mm       61.25mm       19.25mm       61.25mm       19.25mm  T        270.00 MF72-060D5     
R37        0402_                 57.75mm       24.75mm       57.75mm       24.75mm       57.75mm       24.25mm  T        360.00 10k            
R38        0805_                    55mm       17.25mm          55mm       17.25mm       53.95mm       17.25mm  T        270.00 22k            
R39        0402_                 23.25mm        19.5mm       23.25mm        19.5mm       22.75mm        19.5mm  T        270.00 10k            
R40        0402_                 73.25mm          16mm       73.25mm          16mm       73.25mm        16.5mm  B          0.00 10k            
R41        0402_                 70.75mm          16mm       70.75mm          16mm       70.75mm        16.5mm  B          0.00 10k            
R42        0402_                 68.25mm          16mm       68.25mm          16mm       68.25mm        16.5mm  B          0.00 10k            
R43        0402_                 75.75mm          16mm       75.75mm          16mm       75.75mm        16.5mm  B          0.00 10k            
T1         DPAK                   31.5mm       15.75mm        31.5mm       15.75mm       35.09mm      18.036mm  B        270.00 NTD5867NL      
T2         DPAK                     30mm       15.75mm          30mm       15.75mm       26.41mm      18.036mm  T        270.00 NTD5867NL      
T3         DPAK                   31.5mm       22.75mm        31.5mm       22.75mm       35.09mm      25.036mm  B        270.00 NTD5867NL      
T4         DPAK                     30mm        22.5mm          30mm        22.5mm       26.41mm      24.786mm  T        270.00 NTD5867NL      
U1         SOT223-4M               115mm        30.5mm         115mm        30.5mm      112.05mm        32.8mm  T        360.00 MCP1804T-A002I/DB
U2         SOT223-4M              4.75mm          33mm        4.75mm          33mm         7.7mm        30.7mm  T        180.00 MCP1804T-3302I/DB
U3         SOIC16                81.25mm       20.75mm       81.25mm       20.75mm       78.25mm      25.195mm  T          0.00 MC14504B       
U4         SOIC16                93.75mm       20.75mm       93.75mm       20.75mm       90.75mm      25.195mm  T          0.00 MC14504B       
U5         sot23-5            108.5001mm     23.0001mm       108.5mm          23mm    107.5501mm     21.6001mm  T        360.00 MCP1804T-5002I/OT
U6         soic8               103.095mm        19.8mm         105mm       22.25mm         105mm       22.25mm  T        270.00 LT1636         
U7         VSSOP10                23.5mm       30.75mm        23.5mm       30.75mm       25.55mm       29.75mm  T        180.00 LM5106MM/NOPB  
U8         SOT363                   19mm       30.25mm          19mm       30.25mm       18.35mm        29.3mm  T         90.00 74LVC1G11      
U9         SOT23-5             17.4999mm     26.7501mm        17.5mm       26.75mm     18.8999mm     25.8001mm  T         90.00 74AHC1G32      
U10        VSSOP10                32.5mm       30.75mm        32.5mm       30.75mm       34.55mm       29.75mm  T        180.00 LM5106MM/NOPB  
U11        CPC10xxN              43.75mm       22.25mm       43.75mm       22.25mm       45.02mm       25.05mm  T        180.00 CPC1018N       
U12        soic8                14.055mm       32.05mm       12.15mm        29.6mm       12.15mm        29.6mm  T         90.00 TLC555         
U13        CPC10xxN                 55mm       22.25mm          55mm       22.25mm       56.27mm       25.05mm  T        180.00 CPC1018N       
U14        SOIC16                69.85mm       20.75mm       69.85mm       20.75mm       66.85mm      25.195mm  T        360.00 MC14504B       
U15        SOT23-5             23.0001mm     15.7501mm          23mm       15.75mm     22.0501mm     14.3501mm  T          0.00 MCP9501        

